epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3976.21,1.02247,0.67191,1.02771,0.78207,0.75886,0.78772,0.55208,0.78052,0.49666,0.82842,0.000516245,0.000516245,0.000516245
85,4024.5,1.01937,0.66767,1.02192,0.75464,0.72539,0.76189,0.53095,0.7995,0.50762,0.83736,0.0005132,0.0005132,0.0005132
86,4061.02,1.00862,0.66109,1.01735,0.813,0.6991,0.75264,0.53442,0.78387,0.49209,0.82851,0.000510155,0.000510155,0.000510155
87,4109.26,1.00615,0.65962,1.0116,0.80808,0.714,0.76094,0.53598,0.79051,0.50481,0.83164,0.000507109,0.000507109,0.000507109
88,4157.96,1.0213,0.66611,1.01946,0.78084,0.80058,0.80965,0.5608,0.79075,0.49182,0.83113,0.000504064,0.000504064,0.000504064
89,4211.85,1.00591,0.65481,1.01435,0.85547,0.66338,0.75761,0.53556,0.78991,0.50689,0.8301,0.000501019,0.000501019,0.000501019
90,8438.28,1.00512,0.65294,1.0169,0.82733,0.68345,0.77751,0.54849,0.78495,0.49375,0.8268,0.000497974,0.000497974,0.000497974
91,13572.6,1.00439,0.65447,1.01111,0.80885,0.71133,0.7665,0.52766,0.79352,0.49753,0.82775,0.000494928,0.000494928,0.000494928
92,16970.6,1.00124,0.64798,1.01438,0.79603,0.69455,0.75181,0.52749,0.79596,0.49816,0.83038,0.000491883,0.000491883,0.000491883
93,21888.8,0.994,0.64492,1.00847,0.83499,0.70726,0.78232,0.5534,0.77461,0.48338,0.82044,0.000488838,0.000488838,0.000488838
94,24325.8,0.999,0.64618,1.00902,0.79051,0.71613,0.76684,0.54053,0.77903,0.4879,0.82279,0.000485793,0.000485793,0.000485793
95,27951.1,1.00328,0.64913,1.01261,0.78151,0.76825,0.80439,0.55619,0.78107,0.49097,0.82446,0.000482747,0.000482747,0.000482747
96,31419.8,0.99765,0.64374,1.00833,0.76696,0.76084,0.78747,0.55174,0.77416,0.48294,0.82107,0.000479702,0.000479702,0.000479702
97,32107.4,0.9968,0.64129,1.00579,0.78601,0.7586,0.78335,0.54561,0.77275,0.47891,0.82052,0.000476657,0.000476657,0.000476657
98,33626,0.99882,0.64477,1.00858,0.7651,0.7171,0.76658,0.54687,0.76495,0.48168,0.81793,0.000473612,0.000473612,0.000473612
99,35588.7,0.99747,0.64409,1.009,0.83166,0.6875,0.76864,0.53812,0.7855,0.48003,0.82164,0.000470566,0.000470566,0.000470566
100,39107.6,0.98853,0.63617,1.00029,0.84856,0.70835,0.77696,0.55869,0.76765,0.46922,0.81738,0.000467521,0.000467521,0.000467521
101,39771.4,0.99188,0.6339,1.00404,0.81991,0.72172,0.78181,0.55159,0.77265,0.47926,0.81962,0.000464476,0.000464476,0.000464476
102,47028.7,0.98473,0.63402,1.00348,0.7974,0.75394,0.76976,0.54601,0.76308,0.47008,0.81714,0.000461431,0.000461431,0.000461431
103,52541.7,0.98265,0.63162,1.00532,0.84423,0.69715,0.75658,0.5372,0.78243,0.48563,0.8226,0.000458386,0.000458386,0.000458386
